task,controller,eval_strength,seed,state_fidelity,avg_gate_fidelity,pulse_energy,segments,horizon_steps,objective_mean,horizon_iterations,successful_steps,design_seconds
Z,standalone_process_adjoint,0.08,23,0.9820079051650323,0.988004657700475,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,24,0.8146985140893384,0.8764652974904686,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,25,0.7143565980230859,0.8095709164078588,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,26,0.9695136164385492,0.978951073627582,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,27,0.9195590497701869,0.9461768331073653,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,28,0.9800182235490076,0.9839587382369128,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,29,0.9369871959912565,0.9553966819041969,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,30,0.882628235231414,0.9217253813607695,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,31,0.8155851255685931,0.8747307550261518,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,32,0.9898397863077908,0.9927926397369728,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,33,0.8971753898001145,0.9290140629080895,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,34,0.7842962844001656,0.8557551945219144,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,35,0.8722154585813484,0.9114084986279312,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,36,0.9693049897494729,0.9785437230220909,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,37,0.733337899483212,0.8221172516343828,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,38,0.9918693060241257,0.9942041785227227,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,39,0.9181136396190122,0.9416029529105295,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,40,0.9079455066309617,0.938605751066524,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,41,0.9952165098333519,0.9934651184811812,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,42,0.9212964176827957,0.9445862277979046,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,43,0.8346691914483114,0.8883097348517989,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,44,0.9892574926309837,0.9924076211961067,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,45,0.985160282933916,0.9896405608847925,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,46,0.9821730492267968,0.9825864025985188,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,47,0.6683645866000437,0.7779754376790473,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,48,0.9943700864147342,0.99041357320049,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
Z,standalone_process_adjoint,0.08,49,0.990517987820888,0.9909198339454101,1.9363390660950892,60,4,0.04436751129082603,464,10,39.63835142087191
